This is the output from trying to use gradient decent to optimize the value of 
alpha for the N=10 system. The run was terminated at 78 iterations, as the value
had stabilized.

./optimize.x 0 3 10 0.55 2.82843 2.82843 0.0043 0.5 0.001 10000 0.00000001
Wavefunciton(alpha=0.55, beta=2.82843, a=0.0043)
Hamiltonian(omega_z=2.82843, a=0.0043)
Sampler(step=0.5)
System(Boson(-0.0711851, -0.0497787, 0.0946917), Boson(0.0298678, 0.0372256, -0.146155), Boson(-0.235669, 0.0944622, -0.0153283), Boson(-0.146424, -0.248034, -0.243485), Boson(-0.0397888, 0.0580957, 0.197442), Boson(-0.044682, -0.119616, -0.236636), Boson(-0.196029, -0.066658, -0.248057), Boson(0.220046, 0.095638, 0.209333), Boson(-0.0401338, 0.152048, 0.0493155), Boson(-0.248276, -0.00584108, 0.191102))
Alpha guess: 0.55, Learning rate: 0.001, Cycles per iteration: 10000, Max iterations: 10000, Minimum gradient: 1e-08
Iteration 52: alpha=0.4978039199, E=24.4016005441, var=0.0024981763, dE=-0.0167943178, lr=0.0005
Iteration 53: alpha=0.4977892373, E=24.4045961424, var=0.0024109743, dE=0.0587302705, lr=0.00025
Iteration 54: alpha=0.4977962691, E=24.3958311713, var=0.0024764478, dE=-0.0562539180, lr=0.000125
Iteration 55: alpha=0.4977926190, E=24.3864851701, var=0.0020538920, dE=0.0584018663, lr=6.25e-05
Iteration 56: alpha=0.4977866882, E=24.4072078436, var=0.0030117347, dE=0.0948922208, lr=6.25e-05
Iteration 57: alpha=0.4977825949, E=24.4058102388, var=0.0025499023, dE=0.0654932747, lr=6.25e-05
Iteration 58: alpha=0.4977762510, E=24.3935654770, var=0.0027602427, dE=0.1015026327, lr=6.25e-05
Iteration 59: alpha=0.4977779138, E=24.3928166136, var=0.0023913594, dE=-0.0532106712, lr=3.125e-05
Iteration 60: alpha=0.4977776273, E=24.4050126815, var=0.0022922169, dE=0.0183360458, lr=1.5625e-05
Iteration 61: alpha=0.4977779718, E=24.4000054816, var=0.0031287694, dE=-0.0440950782, lr=7.8125e-06
Iteration 62: alpha=0.4977777159, E=24.3921481466, var=0.0033247597, dE=0.0654959805, lr=3.90625e-06
Iteration 63: alpha=0.4977777190, E=24.3838128577, var=0.0024818247, dE=-0.0015843089, lr=1.95313e-06
Iteration 64: alpha=0.4977776924, E=24.4048568356, var=0.0087373285, dE=0.0272740772, lr=9.76563e-07
Iteration 65: alpha=0.4977776302, E=24.3937712953, var=0.0039171129, dE=0.0636902416, lr=9.76563e-07
Iteration 66: alpha=0.4977776591, E=24.4086820894, var=0.0036693204, dE=-0.0592839285, lr=4.88281e-07
Iteration 67: alpha=0.4977776312, E=24.3989532185, var=0.0025522843, dE=0.1146432733, lr=2.44141e-07
Iteration 68: alpha=0.4977776255, E=24.3911812223, var=0.0019521083, dE=0.0231485781, lr=2.44141e-07
Iteration 69: alpha=0.4977776144, E=24.3970881178, var=0.0022437250, dE=0.0454068982, lr=2.44141e-07
Iteration 70: alpha=0.4977776051, E=24.3891203081, var=0.0022474294, dE=0.0381006989, lr=2.44141e-07
Iteration 71: alpha=0.4977775939, E=24.3950393409, var=0.0020482332, dE=0.0458397655, lr=2.44141e-07
Iteration 72: alpha=0.4977775701, E=24.3999955259, var=0.0027751156, dE=0.0975180004, lr=2.44141e-07
Iteration 73: alpha=0.4977775702, E=24.4005064151, var=0.0022579907, dE=-0.0008299734, lr=1.2207e-07
Iteration 74: alpha=0.4977775670, E=24.4094259881, var=0.0025887581, dE=0.0530716568, lr=6.10352e-08
Iteration 75: alpha=0.4977775678, E=24.4007798197, var=0.0027062567, dE=-0.0269497741, lr=3.05176e-08
Iteration 76: alpha=0.4977775680, E=24.4047665770, var=0.0027176410, dE=-0.0076606125, lr=3.05176e-08
Iteration 77: alpha=0.4977775663, E=24.3946549651, var=0.0020962791, dE=0.1165242328, lr=1.52588e-08
Iteration 78: alpha=0.4977775655, E=24.4087566770, var=0.0026161795, dE=0.0503177478, lr=1.52588e-08
