Dims, Number of particles, Use analytic expressions, time step, Energy, Energy^2, Variance, alpha, beta, acceptance rate, time(ms)
3,   1,  ON, 1.000000e-04, 1.500000e+00, 2.250000e+00, 0.000000e+00, 5.000000e-01, 1.000000e+00, 1.000, 0
3,   1, OFF, 1.000000e-02, 1.500000e+00, 2.250000e+00, 2.353673e-14, 5.000000e-01, 1.000000e+00, 1.000, 0
3,   1, OFF, 1.000000e-03, 1.500000e+00, 2.249999e+00, 8.881784e-16, 5.000000e-01, 1.000000e+00, 1.000, 0
3,   1, OFF, 1.000000e-04, 1.500000e+00, 2.249999e+00, -1.332268e-15, 5.000000e-01, 1.000000e+00, 1.000, 0
3,  10,  ON, 1.000000e-02, 1.500000e+01, 2.250000e+02, 0.000000e+00, 5.000000e-01, 1.000000e+00, 1.000, 0
3,  10,  ON, 1.000000e-03, 1.500000e+01, 2.250000e+02, 0.000000e+00, 5.000000e-01, 1.000000e+00, 1.000, 0
3,  10,  ON, 1.000000e-04, 1.500000e+01, 2.250000e+02, 0.000000e+00, 5.000000e-01, 1.000000e+00, 1.000, 0
3,  10, OFF, 1.000000e-02, 1.500000e+01, 2.249999e+02, -2.842171e-14, 5.000000e-01, 1.000000e+00, 1.000, 3
3,  10, OFF, 1.000000e-03, 1.500000e+01, 2.249999e+02, -4.547474e-13, 5.000000e-01, 1.000000e+00, 1.000, 3
3,  10, OFF, 1.000000e-04, 1.500000e+01, 2.249999e+02, -6.536993e-13, 5.000000e-01, 1.000000e+00, 1.000, 3
3, 100,  ON, 1.000000e-02, 1.500000e+02, 2.250000e+04, 0.000000e+00, 5.000000e-01, 1.000000e+00, 1.000, 22
3, 100,  ON, 1.000000e-03, 1.500000e+02, 2.250000e+04, 0.000000e+00, 5.000000e-01, 1.000000e+00, 1.000, 22
3, 100,  ON, 1.000000e-04, 1.500000e+02, 2.250000e+04, 0.000000e+00, 5.000000e-01, 1.000000e+00, 1.000, 22
3, 100, OFF, 1.000000e-02, 1.500000e+02, 2.249999e+04, 3.637979e-11, 5.000000e-01, 1.000000e+00, 1.000, 1552
3, 100, OFF, 1.000000e-03, 1.500000e+02, 2.249999e+04, 2.182787e-11, 5.000000e-01, 1.000000e+00, 1.000, 1560
3, 100, OFF, 1.000000e-04, 1.500000e+02, 2.249999e+04, -1.200533e-10, 5.000000e-01, 1.000000e+00, 1.000, 1558
3, 500,  ON, 1.000000e-02, 7.500000e+02, 5.625000e+05, 0.000000e+00, 5.000000e-01, 1.000000e+00, 1.000, 475
3, 500,  ON, 1.000000e-03, 7.500000e+02, 5.625000e+05, 0.000000e+00, 5.000000e-01, 1.000000e+00, 1.000, 474
3, 500,  ON, 1.000000e-04, 7.500000e+02, 5.625000e+05, 0.000000e+00, 5.000000e-01, 1.000000e+00, 1.000, 472
