Dims, Number of particles, Analytic, Time step, Energy, Variance, Acceptance rate, Time spent
3,  10, ON , 1.00e-01, 1.500000e+01, 7.699282e-31, 0.99, 6.95e-04
3,  10, ON , 1.00e-02, 1.500000e+01, 1.514613e-30, 1.00, 7.69e-04
3, 100, OFF, 1.00e+00, 1.500000e+02, 6.783233e-12, 0.59, 3.03e+00
3, 100, OFF, 1.00e-01, 1.500000e+02, 1.261666e-11, 0.99, 3.36e+00
3, 100, OFF, 1.00e-02, 1.500000e+02, 3.451246e-11, 1.00, 3.16e+00
3, 100, ON , 1.00e+00, 1.500000e+02, 4.937234e-28, 0.59, 4.58e-02
3, 100, ON , 1.00e-01, 1.500000e+02, 4.433979e-28, 0.99, 4.07e-02
3, 100, ON , 1.00e-02, 1.500000e+02, 1.079131e-27, 1.00, 4.31e-02
3, 500, OFF, 1.00e+00,  nan,  nan, 0.00, 3.59e+02
3, 500, OFF, 1.00e-01, 7.499999e+02, 8.293598e-10, 0.97, 3.61e+02
3, 500, OFF, 1.00e-02, 7.499999e+02, 1.534635e-09, 1.00, 3.66e+02
3, 500, ON , 1.00e+00, 7.500000e+02, 1.163223e-25, 0.00, 1.33e+00
3, 500, ON , 1.00e-01, 7.500000e+02, 2.568525e-26, 0.97, 9.78e-01
3, 500, ON , 1.00e-02, 7.500000e+02, 9.327185e-26, 1.00, 9.69e-01
